[2024-11-24 14:40:12,734: INFO: main: Welcome to our custom log]
[2024-11-24 16:14:45,236: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-24 16:14:45,244: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-24 16:17:38,666: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-24 16:17:38,682: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-24 16:17:38,682: INFO: common: created directory at: artifacts]
[2024-11-24 16:17:38,682: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-24 16:17:38,682: INFO: 2000430732: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-24 16:17:58,644: INFO: 2000430732: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-24 16:21:11,317: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-24 16:21:11,325: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-24 16:21:11,325: INFO: common: created directory at: artifacts]
[2024-11-24 16:21:11,325: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-24 16:21:11,325: INFO: 170364457: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-24 16:21:35,049: INFO: 170364457: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-24 16:32:10,925: INFO: main: Welcome to our custom log]
[2024-11-24 16:33:30,444: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-24 16:33:30,452: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-24 16:33:30,452: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-24 16:33:30,452: INFO: common: created directory at: artifacts]
[2024-11-24 16:33:30,452: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-24 16:33:30,452: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-24 16:33:48,642: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-24 16:33:49,620: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
